LOAN_ID,snapshot_date,nps_score,nps_category,BALANCE,TOTAL_PAID,ARREARS,DAYS_PAST_DUE,BALANCE_DUE_STATUS,ACCOUNT_STATUS_L2,happy_with_device_quality,happy_with_service,experienced_payment_delay,difficulty_getting_support,phone_locked_despite_payment,PRODUCT_NAME,LOAN_TERM,dpd_bucket,payment_performance
recVyjC17ve12Qkjl,2025-12-30,10.0,Promoter,54250.0,35799,0.0,0,up to date,Active,Yes,Yes,No,No,,Samsung-Note-20-Ultra-128GB,12M,Current,Good
recW13hYCrONQAH6j,2025-12-30,7.0,Passive,0.0,66159,100.0,0,Arrears,Paid Off,,,,,,Samsung-Galaxy-S10-128GB,12M,Current,Fair
recW1hP4LyugXlXbk,2025-12-30,10.0,Promoter,0.0,39039,0.0,0,up to date,Paid Off,Yes,Yes,No,No,Yes,Samsung-Galaxy-S9-64GB,12M,Current,Good
recW3kKL2gKpPYwgq,2025-12-30,3.0,Detractor,19800.0,49779,19800.0,116,Arrears,PAR 30,,,,,,Samsung-Note-20-128GB,12M,90+ DPD,Poor
recW48KTQGodlKDZd,2025-12-30,10.0,Promoter,10000.0,84989,0.0,0,advance,Active,,,,,,Samsung-Note-20-Ultra-128GB,12M,Current,Unknown
recW57USPCLJYXKQa,2025-12-30,10.0,Promoter,42630.0,69389,0.0,0,up to date,Active,Yes,Yes,Yes,Yes,Yes,Samsung-Galaxy-S22-Ultra-512GB,12M,Current,Good
recW6Qah0HUMb4fMm,2025-12-30,10.0,Promoter,36720.0,23054,5400.0,32,Arrears,PAR 30,,,,,,Samsung-Galaxy-S21-Plus-5G-128GB,12M,31-60 DPD,Poor
recW6eMD3eUxBhWJ7,2025-12-30,10.0,Promoter,11800.0,113369,3920.0,11,Arrears,PAR 7,Yes,Yes,No,No,Yes,Samsung-Galaxy-S22-Ultra-256GB,12M,1-30 DPD,Fair
recW8LK1T4RtzlgGC,2025-12-30,8.0,Passive,0.0,59409,0.0,0,advance,Paid Off,,,,,,Samsung-Galaxy-S10-128GB,12M,Current,Unknown
recWARqS36Jy6a970,2025-12-30,2.0,Detractor,39380.0,73909,1790.0,4,Arrears,Inactive,No,No,No,Yes,Yes,Samsung-Note-20-Ultra-256GB,12M,1-30 DPD,Fair
recWAkAXazxrEN1f0,2025-12-30,1.0,Detractor,41160.0,44709,38220.0,175,Arrears,PAR 30,No,No,Yes,Yes,No,Samsung-Note-10-Plus-256GB,12M,90+ DPD,Poor
recWB3VoHPOpHMe3p,2025-12-30,1.0,Detractor,46410.0,6399,23689.0,134,Arrears,Return,,,,,,Samsung-Galaxy-S20-Plus-5G-128GB,12M,90+ DPD,Poor
recWDdM0T6iRi4PXh,2025-12-30,5.0,Detractor,17490.0,77499,1590.0,2,Arrears,Inactive,No,Yes,Yes,Yes,Yes,Samsung-Note-20-Ultra-128GB,12M,1-30 DPD,Fair
recWEMgOtOcjINR10,2025-12-30,7.0,Passive,0.0,38999,0.0,0,up to date,Paid Off,,,,,,Samsung-Note-10-Plus-256GB,12M,Current,Good
recWEcZP4lICkcoyC,2025-12-30,8.0,Passive,36720.0,23054,0.0,0,advance,Active,Yes,Yes,Yes,Yes,No,Samsung-Galaxy-S21-Plus-5G-128GB,12M,Current,Unknown
recWIGyHtLGGYb5FW,2025-12-30,3.0,Detractor,14640.0,56579,1220.0,5,Arrears,Inactive,No,Yes,No,No,Yes,Samsung-Note-10-Plus-256GB,12M,1-30 DPD,Fair
recWKuFBxv77lMIMG,2025-12-30,10.0,Promoter,52000.0,100729,40350.0,125,Arrears,PAR 30,Yes,Yes,No,Yes,No,Apple-iPhone-13-Pro-Max-256GB,12M,90+ DPD,Poor
recWKzLkLIJQy5TNf,2025-12-30,10.0,Promoter,0.0,50999,0.0,0,advance,Paid Off,Yes,Yes,No,No,Yes,Samsung-Galaxy-S20-Ultra-128GB,12M,Current,Unknown
recWO0ZWJCntqhyXc,2025-12-30,8.0,Passive,0.0,70820,99.0,0,Arrears,Paid Off,,,,,,Samsung-Note-10-256GB,12M,Current,Fair
recWOPoO5uHLcryHq,2025-12-30,0.0,Detractor,0.0,38999,0.0,0,up to date,Paid Off,,,,,,Samsung-Galaxy-S20-Ultra-128GB,12M,Current,Good
recWQRnTVKB6EqWvC,2025-12-30,10.0,Promoter,28320.0,40259,0.0,0,up to date,Active,Yes,Yes,No,No,No,Samsung-Galaxy-S20-Ultra-128GB,12M,Current,Good
recWRHsXrsvCtAdWI,2025-12-30,7.0,Passive,17100.0,32899,950.0,0,Arrears,Active,Yes,Yes,Yes,No,Yes,Samsung-Galaxy-S10-128GB,12M,Current,Fair
recWRHtsxOKM359Ml,2025-12-30,10.0,Promoter,0.0,74999,0.0,0,up to date,Paid Off,Yes,Yes,No,No,No,Samsung-Galaxy-S22-Ultra-256GB,12M,Current,Good
recWRacKOC3ZGkDV9,2025-12-30,9.0,Promoter,35619.0,9420,35619.0,715,Arrears,PAR 30,Yes,Yes,Yes,No,Yes,Samsung-Galaxy-S9-64GB,12M,90+ DPD,Poor
recWRnWE25sYXEhah,2025-12-30,8.0,Passive,0.0,89489,0.0,0,up to date,Paid Off,Yes,Yes,No,Yes,Yes,Samsung-Galaxy-S22-Ultra-256GB,3M,Current,Good
recWSGwOi8zja0HOr,2025-12-30,0.0,Detractor,39480.0,55509,25170.0,108,Arrears,PAR 30,No,No,No,No,No,Samsung-Note-20-Ultra-128GB,12M,90+ DPD,Poor
recWSPl9ghOW8KhIr,2025-12-30,5.0,Detractor,0.0,81799,0.0,0,up to date,Paid Off,Yes,Yes,No,No,No,Samsung-Note-10-Plus-256GB,12M,Current,Good
recWWcIEhTHemc6Id,2025-12-30,10.0,Promoter,0.0,75035,22504.0,0,Arrears,Paid Off,Yes,Yes,No,No,,Samsung-Note-20-Ultra-128GB,12M,Current,Fair
recWX90V19DskyGw5,2025-12-30,5.0,Detractor,48480.0,121989,0.0,0,up to date,Active,,,,,,Samsung-Galaxy-S24-Ultra-256GB,12M,Current,Good
recWYk75m9HqlUS5g,2025-12-30,10.0,Promoter,7950.0,87039,1590.0,0,Arrears,Active,,,,,,Samsung-Note-20-Ultra-128GB,12M,Current,Fair
recWcKcz5P6YpRnAj,2025-12-30,10.0,Promoter,0.0,13949,1050.0,0,Arrears,Paid Off,Yes,Yes,No,No,No,Samsung-Galaxy-A06-128GB,12M,Current,Fair
recWcMxIDtV3vTkps,2025-12-30,6.0,Detractor,18050.0,37299,950.0,1,Arrears,Inactive,Yes,Yes,No,No,No,Samsung-Note-20-128GB,12M,1-30 DPD,Fair
recWcbIEUkyWDUgib,2025-12-30,0.0,Detractor,75200.0,44179,47000.0,172,Arrears,Return,No,No,No,No,Yes,Samsung-Galaxy-S22-Ultra-128GB,12M,90+ DPD,Poor
recWcgxuz8K5yAaUR,2025-12-30,10.0,Promoter,9570.0,41099,0.0,0,up to date,Active,,,,,,Samsung-Galaxy-A16-128GB,12M,Current,Good
recWelxER68yVZRUi,2025-12-30,1.0,Detractor,32760.0,20049,3640.0,24,Arrears,PAR 7,No,No,No,Yes,No,Samsung-Galaxy-S20-Plus-5G-128GB,12M,1-30 DPD,Fair
